surface,lemma,upos
η,ο,DET
απόγευμα,απόγευμα,NOUN
δυνατή,δυνατός,ADJ
καταιγίδα,καταιγίδα,NOUN
έφτασε,φτάνω,VERB
σ,σε,ADP
παράλια,παράλιο,NOUN
βόρειας,βόρειος,ADJ
άνεμοι,άνεμος,NOUN
ενισχύθηκαν,ενισχύω,VERB
γρήγορα,γρήγορα,ADV
βροχή,βροχή,NOUN
κράτησε,κρατώ,VERB
ώρες,ώρα,NOUN
αποτέλεσμα,αποτέλεσμα,NOUN
πλημμυρίσουν,πλημμυρίζω,VERB
χαμηλές,χαμηλός,ADJ
περιοχές,περιοχή,NOUN
γειτονιές,γειτονιά,NOUN
ρεύμα,ρεύμα,NOUN
ενώ,ενώ,SCONJ
όλη,όλος,ADJ
νύχτα,νύχτα,NOUN
αποκαταστήσουν,αποκαθιστώ,VERB
βλάβες,βλάβη,NOUN
αρχές,αρχή,NOUN
ζήτησαν,ζητώ,VERB
από,από,ADP
κατοίκους,κάτοικος,NOUN
αποφύγουν,αποφεύγω,VERB
άσκοπες,άσκοπος,ADJ
προσέχουν,προσέχω,VERB
πεσμένα,πεσμένος,ADJ
κλαδιά,κλαδί,NOUN
σήμερα,σήμερα,ADV
πρωί,πρωί,NOUN
κατάσταση,κατάσταση,NOUN
βελτιώθηκε,βελτιώνω,VERB
αλλά,αλλά,CCONJ
προειδοποίηση,προειδοποίηση,NOUN
ισχυρούς,ισχυρός,ADJ
παραμένει,παραμένω,VERB
θάλασσα,θάλασσα,NOUN
είναι,είμαι,AUX
ακόμη,ακόμα,ADV
